symbol,direction,date,time,entry_price,exit_price,stop_loss,take_profit,pnl,rr,quantity,notes
BTC/USDT,long,2025-06-01,09:15,62350.00,63150.00,61850.00,64150.00,400.00,2.00,0.05,Strong support at 62k
ETH/USDT,short,2025-06-01,10:30,3450.00,3400.00,3500.00,3350.00,250.00,2.00,0.5,Resistance at 3.5k
SOL/USDT,long,2025-06-01,11:45,165.50,170.20,163.00,173.00,235.00,2.80,50.0,Breakout trade
XRP/USDT,short,2025-06-02,08:20,0.5250,0.5350,0.5150,0.5450,-50.00,1.33,1000.0,False breakout
ADA/USDT,long,2025-06-02,14:10,0.4500,0.4650,0.4400,0.4800,75.00,2.00,500.0,Bullish divergence
BTC/USDT,short,2025-06-03,13:25,62700.00,63000.00,63200.00,62000.00,-150.00,1.50,0.03,Stop hit
ETH/USDT,long,2025-06-03,15:40,3420.00,3500.00,3380.00,3580.00,400.00,2.00,0.5,Continuation
SOL/USDT,short,2025-06-04,09:15,168.00,165.50,170.00,160.00,125.00,2.00,50.0,Resistance play
XRP/USDT,long,2025-06-04,11:30,0.5300,0.5450,0.5200,0.5550,75.00,1.67,1000.0,Breakout
ADA/USDT,short,2025-06-05,10:20,0.4600,0.4550,0.4700,0.4450,25.00,1.00,500.0,Range trade
BTC/USDT,long,2025-06-05,16:45,61800.00,61200.00,61500.00,62800.00,-300.00,2.17,0.05,Stop loss hit
ETH/USDT,short,2025-06-06,09:10,3480.00,3450.00,3520.00,3400.00,150.00,2.00,0.5,Retest of resistance
SOL/USDT,long,2025-06-06,14:30,172.00,178.00,169.00,182.00,300.00,2.17,50.0,Strong uptrend
XRP/USDT,short,2025-06-07,10:15,0.5400,0.5450,0.5480,0.5300,-25.00,1.29,500.0,Small stop out
ADA/USDT,long,2025-06-07,15:20,0.4550,0.4700,0.4450,0.4800,75.00,2.00,500.0,Support bounce
BTC/USDT,short,2025-06-08,11:40,62500.00,62000.00,63000.00,61500.00,250.00,1.67,0.05,Range high
ETH/USDT,long,2025-06-08,16:50,3500.00,3600.00,3450.00,3650.00,500.00,2.00,0.5,Breakout
SOL/USDT,short,2025-06-09,10:25,180.00,178.00,182.00,175.00,100.00,1.40,50.0,Retracement
XRP/USDT,long,2025-06-09,14:35,0.5500,0.5650,0.5400,0.5700,75.00,1.50,1000.0,Uptrend
ADA/USDT,short,2025-06-10,09:45,0.4800,0.4750,0.4900,0.4650,25.00,1.50,500.0,Resistance
BTC/USDT,long,2025-06-10,15:10,62200.00,63000.00,61800.00,63800.00,400.00,2.00,0.05,Bull flag
ETH/USDT,short,2025-06-11,10:20,3620.00,3650.00,3660.00,3550.00,-150.00,1.36,0.5,Stop hit
SOL/USDT,long,2025-06-11,14:40,175.00,180.00,172.00,185.00,250.00,1.92,50.0,Support bounce
XRP/USDT,short,2025-06-12,09:30,0.5700,0.5750,0.5800,0.5600,-25.00,1.33,500.0,Small loss
ADA/USDT,long,2025-06-12,13:50,0.4700,0.4850,0.4600,0.4950,75.00,1.67,500.0,Uptrend
BTC/USDT,short,2025-06-13,10:15,62800.00,62500.00,63200.00,62000.00,150.00,1.67,0.05,Range trade
ETH/USDT,long,2025-06-13,16:25,3680.00,3750.00,3650.00,3800.00,350.00,2.00,0.5,Breakout
SOL/USDT,short,2025-06-14,11:35,182.00,180.00,185.00,177.00,100.00,1.60,50.0,Resistance
XRP/USDT,long,2025-06-14,15:45,0.5800,0.5950,0.5700,0.6000,75.00,1.33,1000.0,Breakout
ADA/USDT,short,2025-06-15,10:05,0.4900,0.4850,0.5000,0.4750,25.00,1.00,500.0,Range high
BTC/USDT,long,2025-06-15,14:20,63500.00,64500.00,63000.00,65000.00,500.00,2.00,0.05,Uptrend
ETH/USDT,short,2025-06-16,09:40,3780.00,3800.00,3820.00,3700.00,-100.00,1.67,0.5,Stop hit
SOL/USDT,long,2025-06-16,13:55,185.00,195.00,180.00,198.00,500.00,2.25,50.0,Strong move
XRP/USDT,short,2025-06-17,10:50,0.6000,0.6050,0.6100,0.5900,-25.00,1.33,500.0,Small loss
ADA/USDT,long,2025-06-17,15:15,0.5000,0.5150,0.4900,0.5200,75.00,1.67,500.0,Breakout
BTC/USDT,short,2025-06-18,11:25,64200.00,64000.00,64500.00,63500.00,100.00,1.67,0.05,Range trade
ETH/USDT,long,2025-06-18,16:30,3820.00,3900.00,3780.00,3950.00,400.00,2.06,0.5,Uptrend
SOL/USDT,short,2025-06-19,10:40,200.00,198.00,203.00,193.00,100.00,1.67,50.0,Resistance
XRP/USDT,long,2025-06-19,14:50,0.6100,0.6250,0.6000,0.6300,75.00,1.50,1000.0,Breakout
ADA/USDT,short,2025-06-20,09:20,0.5200,0.5150,0.5300,0.5050,25.00,1.67,500.0,Range trade
BTC/USDT,long,2025-06-20,13:35,64800.00,66000.00,64300.00,66500.00,600.00,2.35,0.05,Strong uptrend
ETH/USDT,short,2025-06-21,10:45,3950.00,3980.00,4000.00,3880.00,-150.00,1.67,0.5,Stop hit
SOL/USDT,long,2025-06-21,15:05,205.00,215.00,200.00,220.00,500.00,2.50,50.0,Breakout
XRP/USDT,short,2025-06-22,11:15,0.6300,0.6350,0.6400,0.6200,-25.00,1.33,500.0,Small loss
ADA/USDT,long,2025-06-22,16:25,0.5300,0.5450,0.5200,0.5500,75.00,1.67,500.0,Uptrend
BTC/USDT,short,2025-06-23,10:30,65500.00,65000.00,66000.00,64500.00,250.00,1.67,0.05,Resistance
ETH/USDT,long,2025-06-23,14:45,4020.00,4100.00,3980.00,4150.00,400.00,2.35,0.5,Breakout
